iter	Logloss
0	0.6660067234
5	0.580991082
10	0.524383044
15	0.4926709093
20	0.4682863838
25	0.4559673054
30	0.4430248284
35	0.4345814969
40	0.4299200817
45	0.4226917768
50	0.4212347244
55	0.413365407
60	0.4073917186
65	0.4020402355
70	0.3952695615
75	0.3931733485
80	0.3887032576
85	0.3881589978
90	0.3854667535
95	0.3847855337
100	0.3847238852
105	0.3842180219
110	0.3832347328
115	0.3812692657
120	0.3804807166
125	0.3800762976
130	0.3798516798
135	0.3779094646
140	0.3775681757
145	0.3773537641
150	0.3773177956
155	0.3767983928
160	0.3764336873
165	0.3762964391
170	0.3761226052
175	0.3755580978
180	0.3754048408
185	0.3753796546
190	0.3753314635
195	0.3752496907
200	0.3752358631
205	0.3750914953
210	0.3750794372
215	0.3750606299
220	0.3750056072
225	0.3749925614
230	0.3749762234
235	0.3749532184
240	0.3749423537
245	0.3749352753
250	0.3749304603
255	0.3749192664
260	0.374913258
265	0.3749107476
270	0.3749086076
275	0.3749076199
280	0.3749061795
