iter	Passed	Remaining
0	419	419411
1	521	260006
2	588	195468
3	636	158599
4	698	139021
5	1147	190084
6	1248	177130
7	1670	207111
8	1710	188297
9	1855	183736
10	2270	204167
11	2688	221391
12	2839	215566
13	3252	229052
14	3294	216343
15	3341	205527
16	3747	216705
17	4165	227278
18	4233	218584
19	4299	210661
20	4724	220232
21	4770	212077
22	4817	204624
23	4862	197752
24	5280	205922
25	5701	213598
26	5755	207401
27	6180	214540
28	6604	221131
29	6656	215226
30	6802	212646
31	7218	218366
32	7642	223937
33	7675	218064
34	8090	223072
35	8510	227887
36	8923	232250
37	9341	236488
38	9383	231208
39	9795	235095
40	9830	229947
41	10250	233804
42	10397	231411
43	10441	226861
44	10860	230487
45	11276	233873
46	11320	229543
47	11354	225205
48	11775	228537
49	12196	231732
50	12239	227755
51	12658	230767
52	12700	226933
53	13117	229804
54	13534	232542
55	13984	235741
56	14049	232435
57	14468	234987
58	14715	234705
59	14755	231168
60	15175	233604
61	15596	235954
62	15646	232706
63	15686	229417
64	16102	231624
65	16522	233820
66	16942	235924
67	17368	238045
68	17785	239977
69	18207	241903
70	18627	243734
71	19046	245491
72	19078	242271
73	19114	239185
74	19151	236205
75	19576	238003
76	19607	235039
77	19648	232257
78	20075	234045
79	20507	235834
80	20563	233307
81	20989	234984
82	21412	236570
83	21830	238052
84	21867	235394
85	22296	236965
86	22339	234432
87	22757	235846
88	22819	233576
89	22857	231115
90	23000	229753
91	23044	227443
92	23087	225164
93	23122	222866
94	23541	224265
95	23572	221978
96	23608	219776
97	23638	217571
98	23681	215521
99	24096	216864
100	24513	218190
101	24926	219455
102	25015	217855
103	25062	215918
104	25478	217174
105	25888	218344
106	25927	216383
107	26349	217623
108	26768	218814
109	26806	216885
110	26838	214953
111	26874	213078
112	27296	214268
113	27710	215362
114	27861	214409
115	27900	212619
116	28315	213698
117	28407	212332
118	28656	212151
119	28686	210366
120	28718	208627
121	29135	209677
122	29548	210684
123	29971	211730
124	30009	210065
125	30046	208415
126	30084	206802
127	30120	205193
128	30168	203694
129	30581	204661
130	30643	203278
131	30686	201787
132	30737	200371
133	31159	201373
134	31191	199853
135	31225	198376
136	31369	197601
137	31433	196342
138	31850	197289
139	31941	196209
140	31972	194782
141	32391	195717
142	32425	194325
143	32681	194272
144	32825	193555
145	33236	194409
146	33288	193165
147	33443	192527
148	33863	193408
149	33962	192452
150	34007	191208
151	34071	190083
152	34496	190968
153	34923	191850
154	35341	192667
155	35388	191462
156	35810	192282
157	35961	191645
158	36389	192477
159	36841	193418
160	37013	192881
161	37298	192937
162	37346	191770
163	37608	191709
164	37670	190633
165	38086	191352
166	38508	192079
167	38554	190935
168	38976	191655
169	39025	190535
170	39068	189401
171	39486	190085
172	39579	189205
173	39617	188067
174	39659	186964
175	40084	187668
176	40132	186604
177	40555	187284
178	41023	188156
179	41454	188848
180	41875	189482
181	41969	188630
182	42118	188037
183	42167	187001
184	42213	185966
185	42359	185381
186	42774	185967
187	43030	185854
188	43448	186439
189	43867	187013
190	44290	187594
191	44351	186645
192	44604	186507
193	45022	187052
194	45086	186125
195	45236	185563
196	45336	184796
197	45404	183909
198	45454	182961
199	45603	182413
200	45754	181878
201	45807	180960
202	45961	180448
203	46010	179532
204	46431	180062
205	46524	179320
206	46570	178406
207	46993	178935
208	47145	178430
209	47208	177592
210	47258	176713
211	47678	177221
212	47731	176358
213	47879	175858
214	48329	176460
215	48501	176040
216	48600	175363
217	48900	175412
218	49324	175902
219	49751	176392
220	50180	176880
221	50235	176051
222	50289	175222
223	50713	175686
224	50780	174911
225	50934	174439
226	51199	174350
227	51246	173519
228	51340	172852
229	51759	173282
230	52183	173717
231	52602	174133
232	53019	174532
233	53440	174937
234	53533	174269
235	53575	173439
236	53991	173821
237	54038	173014
238	54105	172277
239	54365	172156
240	54782	172531
241	55202	172907
242	55244	172099
243	55501	171962
244	55542	171162
245	55962	171527
246	56003	170732
247	56423	171091
248	56872	171529
249	57292	171877
250	57713	172220
251	57862	171751
252	57955	171116
253	58102	170647
254	58193	170015
255	58450	169872
256	58546	169259
257	58744	168948
258	58789	168196
259	59209	168518
260	59467	168378
261	59510	167629
262	59550	166877
263	59590	166131
264	59631	165393
265	59673	164663
266	59711	163926
267	60129	164234
268	60162	163490
269	60583	163800
270	60620	163070
271	60653	162338
272	61077	162648
273	61127	161965
274	61161	161243
275	61208	160560
276	61625	160849
277	61658	160134
278	61690	159422
279	62109	159710
280	62145	159011
281	62178	158312
282	62274	157777
283	62425	157382
284	62849	157673
