iter	Logloss	F1:use_weights=true	F1:use_weights=false
0	0.6768701621	0.736062276	0.478
5	0.6166880597	0.7566166538	0.4471173787
10	0.5790036779	0.7534222466	0.4589010989
15	0.5519370682	0.7603034145	0.4705882353
20	0.534370843	0.7679343584	0.4758928571
25	0.5204795625	0.7710878228	0.4812978819
30	0.5104374808	0.7721224907	0.4834766863
35	0.502595598	0.7746218792	0.4863883848
40	0.495807987	0.7765474061	0.4892938497
45	0.4911714887	0.7754538788	0.4881602914
50	0.486385811	0.7761833459	0.4897213339
55	0.4831303798	0.774930014	0.4894592117
60	0.4794543032	0.775765798	0.4912603496
65	0.476872529	0.7755036595	0.4919243193
70	0.4742198868	0.7784849181	0.4946931241
75	0.4709812293	0.7791149904	0.4960666358
80	0.4679710573	0.779806024	0.4988344988
85	0.4659440836	0.7810113417	0.5002333178
90	0.4636268807	0.7804394201	0.5002337541
95	0.4614990248	0.7835928954	0.5046992481
100	0.4591369891	0.7857556528	0.5082664147
105	0.4570198012	0.7858621661	0.5085066163
110	0.4552700562	0.7836218982	0.5073494547
115	0.4531752331	0.7853654616	0.5099904853
120	0.4513731776	0.7850090467	0.5104961832
125	0.449204125	0.7888854609	0.5140677158
130	0.447354081	0.7916458234	0.5164363983
135	0.4456672116	0.7919443656	0.5184475323
140	0.4436968019	0.7943567151	0.5213634181
145	0.4421381534	0.7944645706	0.5216138329
150	0.4408406802	0.7956697013	0.5230769231
