iter	Passed	Remaining
0	45	45688
1	87	43784
2	130	43439
3	174	43394
4	217	43278
5	258	42753
6	298	42286
7	338	41943
8	378	41667
9	420	41585
10	461	41516
11	503	41447
12	544	41338
13	586	41305
14	626	41133
15	666	41008
16	706	40874
17	746	40701
18	787	40659
19	820	40193
20	861	40140
21	902	40114
22	940	39963
23	980	39893
24	1018	39702
25	1057	39623
26	1097	39555
27	1138	39528
28	1178	39464
29	1218	39407
30	1259	39357
31	1299	39297
32	1339	39241
33	1378	39177
34	1419	39138
35	1461	39135
36	1505	39185
37	1548	39209
38	1591	39206
39	1632	39173
40	1675	39190
41	1714	39114
42	1753	39026
43	1794	38983
44	1834	38941
45	1875	38896
46	1915	38832
47	1955	38785
48	1995	38731
49	2034	38653
50	2073	38589
51	2104	38364
52	2143	38304
53	2183	38244
54	2217	38105
55	2258	38065
56	2298	38026
57	2340	38016
58	2369	37787
59	2410	37758
60	2438	37539
61	2477	37483
62	2518	37464
63	2559	37436
64	2599	37396
65	2631	37244
66	2661	37063
67	2702	37040
68	2743	37012
69	2771	36827
70	2810	36780
71	2846	36685
72	2888	36677
73	2928	36645
74	2968	36617
75	3009	36589
76	3038	36423
77	3080	36415
78	3113	36295
79	3143	36146
80	3182	36105
81	3222	36080
82	3263	36053
83	3303	36019
84	3337	35930
85	3378	35911
86	3422	35912
87	3469	35961
88	3511	35947
89	3543	35832
90	3575	35719
91	3610	35636
92	3645	35556
93	3689	35560
94	3727	35504
95	3758	35395
96	3790	35284
97	3818	35146
98	3856	35101
99	3894	35052
100	3926	34946
101	3954	34811
102	3993	34776
103	4021	34647
104	4055	34569
105	4087	34475
106	4117	34360
107	4145	34242
108	4187	34228
109	4228	34208
110	4261	34131
111	4301	34102
112	4336	34042
113	4372	33979
114	4411	33948
115	4449	33909
116	4489	33884
117	4521	33795
118	4549	33683
119	4577	33571
120	4608	33474
121	4637	33375
122	4677	33354
123	4708	33263
124	4737	33161
125	4772	33103
126	4812	33082
127	4840	32977
128	4876	32927
129	4916	32902
130	4955	32874
131	4985	32783
132	5014	32687
133	5055	32675
134	5086	32590
135	5126	32566
136	5162	32518
137	5192	32433
138	5233	32415
139	5273	32394
140	5302	32301
141	5340	32271
142	5381	32250
143	5415	32194
144	5454	32165
145	5495	32142
146	5533	32110
147	5574	32092
148	5616	32080
149	5657	32061
150	5698	32042
151	5738	32016
152	5780	31998
153	5820	31974
154	5861	31955
155	5901	31928
156	5942	31909
157	5984	31890
158	6026	31877
159	6067	31854
160	6111	31847
161	6156	31846
162	6202	31849
163	6249	31856
164	6294	31855
165	6341	31860
166	6385	31851
167	6432	31857
168	6474	31838
169	6521	31837
170	6568	31843
171	6613	31838
172	6663	31855
173	6708	31845
174	6744	31796
175	6778	31736
176	6813	31679
177	6858	31672
178	6900	31651
179	6940	31616
180	6979	31581
181	7019	31550
182	7059	31516
183	7091	31451
184	7137	31441
185	7182	31433
186	7226	31419
187	7262	31369
188	7305	31346
189	7339	31287
190	7377	31248
191	7416	31210
192	7454	31171
193	7496	31144
194	7533	31101
195	7574	31071
196	7615	31041
197	7654	31004
198	7694	30971
199	7735	30942
200	7778	30919
201	7823	30906
202	7868	30893
203	7914	30883
204	7957	30859
205	8005	30857
206	8048	30833
207	8094	30819
208	8137	30797
209	8180	30773
210	8222	30746
211	8262	30712
212	8303	30679
213	8342	30642
214	8383	30611
215	8423	30575
216	8467	30554
217	8512	30535
218	8558	30519
219	8603	30503
220	8646	30477
221	8690	30457
222	8736	30441
223	8777	30409
224	8817	30370
225	8862	30351
226	8913	30351
227	8964	30352
228	9013	30348
229	9082	30405
230	9131	30398
231	9182	30398
232	9231	30387
233	9272	30353
234	9312	30315
235	9353	30280
236	9397	30254
237	9437	30214
238	9478	30181
239	9523	30157
240	9565	30125
241	9617	30122
242	9661	30098
243	9712	30091
244	9754	30058
245	9801	30042
246	9840	29999
247	9885	29975
248	9930	29950
249	9962	29886
250	9994	29822
251	10026	29759
252	10064	29715
253	10102	29671
254	10141	29628
255	10181	29589
256	10218	29543
257	10261	29510
258	10297	29461
259	10337	29422
260	10377	29384
261	10420	29351
262	10464	29324
263	10509	29298
264	10558	29283
265	10610	29279
266	10655	29253
267	10701	29229
268	10749	29210
269	10795	29187
270	10842	29167
271	10885	29134
272	10926	29096
273	10971	29070
274	11015	29040
275	11060	29013
276	11105	28985
277	11146	28948
278	11187	28911
279	11232	28882
280	11278	28857
281	11320	28824
282	11376	28821
283	11416	28782
284	11458	28746
285	11500	28710
286	11539	28667
287	11579	28626
288	11620	28588
289	11661	28549
290	11707	28524
291	11752	28496
292	11795	28462
293	11835	28420
294	11921	28489
295	11984	28502
296	12032	28481
297	12085	28470
298	12130	28439
299	12172	28401
300	12212	28360
301	12263	28343
302	12304	28304
303	12344	28261
304	12383	28219
305	12423	28176
306	12463	28135
307	12506	28099
308	12548	28060
309	12597	28038
310	12643	28009
311	12683	27968
312	12723	27925
313	12767	27893
314	12808	27853
315	12848	27811
316	12886	27764
317	12925	27721
318	12968	27684
319	13012	27650
320	13056	27618
321	13098	27579
322	13138	27537
323	13176	27491
324	13211	27439
325	13257	27410
326	13306	27387
327	13350	27351
328	13393	27315
329	13435	27277
330	13484	27254
331	13532	27227
332	13577	27196
333	13621	27160
334	13664	27124
335	13702	27078
336	13743	27038
337	13787	27004
338	13830	26967
339	13872	26928
340	13912	26886
341	13950	26839
342	13989	26796
343	14029	26754
344	14070	26713
345	14108	26668
346	14143	26615
347	14185	26577
348	14231	26547
349	14277	26515
350	14325	26488
351	14373	26459
352	14419	26428
353	14465	26396
354	14507	26358
355	14547	26315
356	14583	26266
357	14656	26283
358	14704	26255
359	14748	26218
360	14787	26175
361	14836	26148
362	14870	26094
363	14907	26046
364	14954	26016
365	14991	25969
366	15027	25919
367	15065	25873
368	15104	25828
369	15139	25778
370	15174	25727
371	15205	25669
372	15240	25618
373	15275	25567
374	15327	25546
375	15367	25503
376	15398	25446
377	15430	25391
378	15475	25357
379	15513	25311
380	15554	25271
381	15586	25215
382	15622	25166
383	15657	25117
384	15689	25061
385	15727	25017
386	15771	24982
387	15867	25027
388	15899	24972
389	15930	24917
390	15965	24866
391	15998	24813
392	16030	24759
393	16071	24718
394	16108	24672
395	16145	24625
396	16185	24583
397	16221	24535
398	16266	24501
399	16311	24467
400	16347	24419
401	16380	24366
402	16421	24326
403	16463	24287
404	16512	24258
405	16552	24217
406	16600	24187
407	16643	24149
408	16683	24107
409	16722	24064
410	16762	24022
411	16791	23964
412	16832	23924
413	16862	23868
414	16891	23810
415	16920	23753
416	16949	23696
417	16978	23639
418	17008	23584
419	17039	23530
420	17092	23507
421	17131	23464
422	17188	23445
423	17237	23417
424	17270	23366
425	17315	23331
426	17344	23275
427	17384	23233
428	17427	23195
429	17470	23158
430	17508	23113
431	17561	23090
432	17597	23043
433	17634	22998
434	17675	22958
435	17717	22918
436	17763	22885
437	17805	22846
438	17845	22804
439	17885	22763
440	17929	22726
441	17972	22688
442	18013	22649
443	18055	22610
444	18094	22567
445	18136	22528
446	18176	22486
447	18214	22443
448	18250	22396
449	18291	22356
450	18333	22316
451	18375	22277
452	18419	22241
453	18461	22202
454	18502	22162
455	18543	22122
456	18583	22080
457	18623	22039
458	18664	21999
459	18706	21959
460	18748	21920
461	18789	21880
462	18830	21840
463	18877	21807
464	18935	21786
465	18988	21758
466	19030	21719
467	19079	21688
468	19120	21648
469	19163	21609
470	19203	21568
471	19239	21521
472	19280	21481
473	19322	21441
474	19363	21401
475	19398	21354
476	19434	21309
477	19479	21272
478	19520	21232
479	19569	21200
480	19611	21161
481	19653	21121
482	19697	21083
483	19739	21044
484	19782	21005
485	19824	20966
486	19865	20925
487	19905	20884
488	19948	20845
489	19989	20805
490	20031	20765
491	20066	20718
492	20109	20680
493	20150	20640
494	20187	20595
495	20229	20555
496	20271	20515
497	20312	20475
498	20354	20436
499	20395	20395
500	20440	20358
501	20481	20318
502	20522	20277
503	20564	20237
504	20605	20197
505	20646	20157
506	20687	20115
507	20725	20072
508	20765	20031
509	20805	19989
510	20845	19948
511	20885	19906
512	20921	19861
513	20963	19821
514	20999	19776
515	21041	19736
516	21081	19695
517	21122	19654
518	21163	19613
519	21199	19568
520	21241	19528
521	21282	19488
522	21322	19446
523	21365	19408
524	21410	19370
525	21453	19332
526	21493	19291
527	21534	19250
528	21573	19208
529	21613	19167
530	21655	19126
531	21698	19088
532	21738	19046
533	21781	19008
534	21822	18967
535	21857	18921
536	21901	18883
537	21941	18842
538	21981	18800
539	22022	18759
540	22062	18718
541	22103	18677
542	22144	18637
543	22189	18600
544	22230	18559
545	22271	18519
546	22310	18476
547	22352	18436
548	22393	18395
549	22437	18358
550	22479	18318
551	22520	18277
552	22558	18234
553	22599	18193
554	22640	18152
555	22680	18111
556	22712	18063
557	22752	18022
558	22793	17981
559	22833	17940
560	22872	17898
561	22912	17857
562	22953	17816
563	22990	17772
564	23031	17732
565	23070	17690
566	23110	17648
567	23150	17607
568	23191	17566
569	23233	17526
570	23275	17486
571	23316	17446
572	23356	17405
573	23397	17364
574	23441	17326
575	23483	17286
576	23524	17245
577	23566	17205
578	23608	17165
579	23648	17124
580	23688	17083
581	23731	17044
582	23771	17003
583	23811	16961
584	23852	16920
