pay_type,paperless_billing,payment_method,monthly_charges,total_charges,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,gender,senior_citizen,partner,dependents,multiple_lines,target,type_serves,lifetime,renewals_count,months_until_payment,monthly_diff_percent,num_options
One year,Yes,Mailed check,65.6,631.73,No,Yes,No,Yes,Yes,No,Female,0,Yes,Yes,No,0,combo_dsl,276,0,3,7.0,3
Month-to-month,No,Mailed check,59.9,539.1,No,No,No,No,No,Yes,Male,0,No,No,Yes,0,combo_dsl,276,9,0,0.0,2
Month-to-month,Yes,Electronic check,73.9,406.45,No,No,Yes,No,No,No,Male,0,No,No,No,0,combo_optic,153,5,0,10.0,1
Month-to-month,Yes,Electronic check,98.0,1372.0,No,Yes,Yes,No,Yes,Yes,Male,1,Yes,No,No,0,combo_optic,427,14,0,0.0,4
Month-to-month,Yes,Mailed check,83.9,444.67,No,No,No,Yes,Yes,No,Female,1,Yes,No,No,0,combo_optic,153,5,0,6.0,2
Month-to-month,Yes,Credit card (automatic),69.4,655.83,No,No,No,Yes,Yes,Yes,Female,0,No,Yes,No,0,combo_dsl,276,9,0,5.0,3
Two year,Yes,Bank transfer (automatic),109.7,7866.59,Yes,Yes,Yes,Yes,Yes,Yes,Female,1,Yes,No,No,0,combo_optic,2163,2,1,1.0,6
Two year,Yes,Credit card (automatic),84.65,5332.95,Yes,No,No,Yes,No,No,Male,0,Yes,No,Yes,0,combo_optic,1918,2,9,0.0,3
Month-to-month,Yes,Electronic check,48.2,337.4,Yes,No,No,No,No,No,Female,1,No,No,No,0,combo_dsl,215,7,0,0.0,1
Two year,Yes,Mailed check,90.45,5879.25,Yes,Yes,Yes,Yes,Yes,Yes,Female,0,Yes,Yes,Yes,0,combo_dsl,1979,2,7,0.0,7
Two year,No,Credit card (automatic),45.2,2611.66,Yes,No,No,Yes,Yes,No,Male,0,No,No,No,0,internet_dsl,1645,2,18,6.99,3
Two year,Yes,Credit card (automatic),116.8,8998.27,Yes,Yes,Yes,Yes,Yes,Yes,Female,0,Yes,Yes,Yes,0,combo_optic,2191,3,0,7.0,7
Month-to-month,Yes,Electronic check,68.95,344.75,No,No,No,No,No,No,Female,0,Yes,No,No,0,combo_optic,153,5,0,0.0,0
Two year,Yes,Bank transfer (automatic),101.3,7439.47,Yes,Yes,Yes,No,Yes,No,Female,0,No,No,Yes,0,combo_optic,2191,3,0,2.0,5
Two year,No,Bank transfer (automatic),45.05,2651.19,Yes,Yes,Yes,Yes,No,No,Female,0,No,No,No,1,internet_dsl,1675,2,17,6.99,4
Two year,Yes,Credit card (automatic),95.75,7206.15,No,Yes,Yes,No,No,Yes,Female,0,Yes,Yes,Yes,0,combo_optic,2163,2,1,6.01,4
One year,No,Mailed check,61.25,2082.5,Yes,No,Yes,Yes,Yes,Yes,Female,0,Yes,Yes,No,0,internet_dsl,1036,2,2,0.0,5
Month-to-month,Yes,Electronic check,72.1,79.31,No,No,No,No,No,No,Female,1,No,No,Yes,0,combo_optic,31,1,0,10.0,1
One year,No,Credit card (automatic),62.7,188.1,Yes,No,Yes,No,No,Yes,Male,1,No,No,No,1,combo_dsl,92,0,9,0.0,3
Month-to-month,Yes,Electronic check,25.1,100.4,No,No,No,No,No,No,Male,1,No,No,No,0,internet_dsl,123,4,0,0.0,0
One year,No,Electronic check,25.2,1348.2,No,No,No,No,No,No,Female,1,Yes,No,Yes,0,phone,1523,4,10,6.98,1
Month-to-month,No,Electronic check,94.1,1550.77,No,Yes,Yes,No,Yes,No,Female,0,Yes,No,Yes,0,combo_optic,488,16,0,3.0,4
Month-to-month,Yes,Electronic check,83.75,2080.35,No,No,No,No,Yes,No,Female,0,Yes,Yes,Yes,0,combo_optic,702,23,0,8.0,2
Month-to-month,No,Mailed check,19.85,63.12,No,No,No,No,No,No,Female,0,No,No,No,0,phone,92,3,0,5.99,0
Month-to-month,No,Mailed check,20.35,101.75,No,No,No,No,No,No,Female,0,Yes,Yes,No,0,phone,153,5,0,0.0,0
Month-to-month,No,Bank transfer (automatic),30.5,122.0,Yes,No,No,No,No,No,Female,0,Yes,Yes,No,0,internet_dsl,123,4,0,0.0,1
One year,Yes,Bank transfer (automatic),103.7,5931.64,No,Yes,Yes,Yes,Yes,Yes,Female,0,Yes,Yes,No,0,combo_optic,1676,4,5,4.0,5
Two year,No,Credit card (automatic),20.4,142.8,No,No,No,No,No,No,Male,0,Yes,Yes,No,1,phone,213,0,17,0.0,0
One year,Yes,Bank transfer (automatic),19.6,509.6,No,No,No,No,No,No,Male,0,No,No,No,0,phone,792,2,10,0.0,0
Two year,No,Bank transfer (automatic),19.7,708.61,No,No,No,No,No,No,Female,0,Yes,Yes,No,1,phone,1007,1,15,8.98,0
One year,No,Credit card (automatic),91.2,3610.61,No,No,No,No,Yes,Yes,Male,0,Yes,Yes,No,0,combo_optic,1126,3,11,7.0,2
One year,No,Bank transfer (automatic),20.45,1072.19,No,No,No,No,No,No,Female,0,Yes,No,No,0,phone,1492,4,11,6.99,0
One year,No,Bank transfer (automatic),115.8,7642.8,Yes,Yes,Yes,Yes,Yes,Yes,Male,0,Yes,No,Yes,0,combo_optic,2010,5,6,0.0,7
One year,No,Electronic check,20.55,1376.85,No,No,No,No,No,No,Female,0,No,No,No,0,phone,2041,5,5,0.0,0
Two year,Yes,Credit card (automatic),39.4,788.0,Yes,No,Yes,Yes,No,No,Male,0,Yes,Yes,No,0,internet_dsl,610,0,4,0.0,3
Two year,Yes,Electronic check,25.1,1079.3,No,No,No,No,No,No,Female,0,No,Yes,Yes,0,phone,1310,1,5,0.0,1
Month-to-month,Yes,Bank transfer (automatic),89.8,5235.34,Yes,No,No,No,Yes,No,Female,0,Yes,No,Yes,0,combo_optic,1676,55,0,6.0,3
Month-to-month,Yes,Electronic check,94.75,5981.57,Yes,Yes,No,No,Yes,No,Female,0,Yes,No,Yes,0,combo_optic,1798,59,0,7.0,4
Two year,No,Bank transfer (automatic),20.3,243.6,No,No,No,No,No,No,Female,0,Yes,Yes,No,0,phone,365,0,0,0.0,0
Month-to-month,Yes,Bank transfer (automatic),75.75,1666.5,No,No,No,No,No,No,Male,0,Yes,Yes,Yes,1,combo_optic,669,22,0,0.0,1
Month-to-month,Yes,Electronic check,49.25,197.0,Yes,No,No,No,No,No,Male,1,No,No,No,0,combo_dsl,123,4,0,0.0,1
One year,No,Mailed check,78.2,2111.4,No,Yes,Yes,Yes,Yes,Yes,Female,0,No,No,No,0,combo_dsl,822,2,9,0.0,5
Two year,No,Credit card (automatic),25.5,656.62,No,No,No,No,No,No,Male,0,Yes,Yes,Yes,0,phone,761,1,23,2.98,1
One year,Yes,Bank transfer (automatic),61.6,1540.0,Yes,Yes,Yes,No,No,No,Male,0,Yes,Yes,No,0,combo_dsl,761,2,11,0.0,3
Month-to-month,Yes,Mailed check,45.0,1305.0,Yes,Yes,Yes,Yes,No,No,Male,0,No,Yes,No,0,internet_dsl,883,29,0,0.0,4
Two year,Yes,Bank transfer (automatic),85.15,2592.82,No,Yes,Yes,Yes,Yes,Yes,Male,0,Yes,No,Yes,1,combo_dsl,881,1,19,5.0,6
One year,No,Credit card (automatic),51.45,720.3,No,Yes,No,No,No,No,Female,0,No,No,No,0,combo_dsl,427,1,10,0.0,1
One year,Yes,Electronic check,99.25,3473.75,No,No,Yes,Yes,Yes,Yes,Female,0,No,No,No,0,combo_optic,1067,2,1,0.0,4
Month-to-month,Yes,Mailed check,44.3,44.3,No,No,No,No,No,No,Male,0,No,No,No,0,combo_dsl,31,1,0,0.0,0
Month-to-month,Yes,Electronic check,94.2,2813.75,No,No,No,Yes,Yes,Yes,Male,0,No,No,No,0,combo_optic,883,29,0,3.0,3
One year,No,Electronic check,81.25,5200.0,Yes,Yes,Yes,Yes,Yes,No,Male,0,No,No,Yes,0,combo_dsl,1949,5,8,0.0,6
Month-to-month,Yes,Credit card (automatic),99.95,599.7,No,No,No,Yes,Yes,Yes,Female,0,Yes,Yes,Yes,1,combo_optic,181,6,0,0.0,4
Month-to-month,Yes,Electronic check,91.55,3662.0,No,No,No,No,Yes,Yes,Female,1,No,No,No,0,combo_optic,1218,40,0,0.0,2
Month-to-month,Yes,Credit card (automatic),104.5,3344.0,No,Yes,Yes,No,Yes,Yes,Male,0,No,No,Yes,1,combo_optic,972,32,0,0.0,5
Month-to-month,Yes,Electronic check,95.0,1330.0,No,Yes,No,No,Yes,Yes,Female,1,No,No,No,0,combo_optic,427,14,0,0.0,3
Month-to-month,No,Electronic check,50.35,311.16,No,No,No,No,No,No,Female,0,Yes,No,Yes,0,combo_dsl,184,6,0,3.0,1
Month-to-month,Yes,Mailed check,64.5,2031.75,Yes,No,No,No,No,Yes,Male,0,No,No,Yes,0,combo_dsl,914,30,0,4.99,3
Month-to-month,Yes,Electronic check,19.4,539.51,No,No,No,No,No,No,Male,0,No,No,No,0,phone,822,27,0,2.99,0
One year,Yes,Electronic check,104.8,7996.24,No,Yes,Yes,No,Yes,Yes,Male,1,Yes,No,Yes,0,combo_optic,2132,5,2,9.0,5
